"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Raw materials price index, monthly","18100268",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810026801",1;2;3,"CURRENT - a cube available to the public and that is current","Monthly","1981-01-01","2022-09-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Product Classification System (NAPCS)",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"2","Uncut and industrial diamonds","[16311]","50","49","",,
"2","Non-metallic minerals (except diamonds)","[16312]","51","49","",,
"2","Logs, pulpwood and other forestry products","[131]","53","52","",,
"2","Natural rubber","[282M]","57","52","",,
"2","Logs and bolts","[13111]","54","53","",,
"2","Pulpwood","[13112]","55","53","",,
"2","Rough untreated poles, posts and piling","[13113]","56","53","",,
"2","Natural rubber","[28211M]","58","57","",,
"2","Iron ores and concentrates","[151]","60","59","",,
"2","Copper ores and concentrates","[152]","62","59","",,
"2","Nickel ores and concentrates","[153]","64","59","",,
"2","Radioactive ores and concentrates","[154]","66","59","",,
"2","Other metal ores and concentrates","[155]","68","59","",,
"2","Waste and scrap of metal","[156]","73","59","",,
"2","Iron ores and concentrates","[15111]","61","60","",,
"2","Copper ores and concentrates","[15211]","63","62","",,
"2","Nickel ores and concentrates","[15311]","65","64","",,
"2","Radioactive ores and concentrates","[15411]","67","66","",,
"2","Gold, silver, and platinum group metal ores and concentrates","[15511]","69","68","",,
"2","Bauxite and aluminum oxide","[15521]","70","68","",,
"2","Lead and zinc ores and concentrates","[15522]","71","68","",,
"2","Other metal ores and concentrates, n.e.c.","[15523]","72","68","",,
"2","Gold ores, concentrates and mill bullion","[155111]","83","69","",,
"2","Silver ores, concentrates and mill bullion","[155112]","84","69","",,
"2","Waste and scrap of iron and steel","[15611]","74","73","",,
"2","Waste and scrap of non-ferrous metals","[15612]","75","73","",,
"2","Total, Raw materials price indexes (RMPI)","","1","","",,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"2318","Industrial Product Price Index"

"Subject Code","Subject Name"
"18","Prices and price indexes"

"Note ID",Note
1,"This monthly table replaces table 18-10-0034 which has been archived. This table contains monthly data starting from January 1981."
2,"On November 30, 2020, additional series are available upon request."
3,"On February 28, 2022, select 6-digit North American Product Classification System (NAPCS) indexes have been added to this table. Additional series continue to be available upon request."

"Correction ID","Correction Date","Correction Note"
